Tag Code,SRR Name,Mark Site Code Value,Release Site Name,Release Date MMDDYYYY,Obs Date MMDDYYYY,First Obs Date,Last Obs Date,Number of Records
384.3B23A2B009,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/21/2015,6/21/2015,6/21/2015,13
384.3B23A2B023,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/10/2015,6/10/2015,6/10/2015,16
384.3B23A2B0E4,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",4/30/2013,8/29/2015,8/29/2015,8/29/2015,54
384.3B23A2B22B,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/2/2015,6/2/2015,6/2/2015,16
384.3B23A2B2B8,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/14/2015,5/14/2015,5/14/2015,17
384.3B23A2B351,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/13/2013,10/26/2015,10/26/2015,10/27/2015,11
384.3B23A2B351,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/13/2013,10/27/2015,10/26/2015,10/27/2015,11
384.3B23A2B3FA,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/6/2015,6/6/2015,6/6/2015,40
384.3B23A2B50B,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/28/2015,6/28/2015,6/28/2015,10
384.3B23A2B5CA,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/10/2013,9/19/2015,9/19/2015,9/19/2015,12
384.3B23A2B7F5,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/8/2013,9/17/2015,9/17/2015,9/17/2015,16
384.3B23A2B946,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/12/2015,6/12/2015,6/12/2015,17
384.3B23A2B995,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/8/2015,5/8/2015,5/9/2015,20
384.3B23A2B995,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/9/2015,5/8/2015,5/9/2015,20
384.3B23A2BAC4,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/11/2015,5/11/2015,5/11/2015,13
384.3B23A2BBFA,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,7/10/2015,7/10/2015,7/10/2015,26
384.3B23A2BD13,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/7/2015,5/7/2015,5/7/2015,17
384.3B23A2BDB7,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,4/26/2015,4/26/2015,4/26/2015,15
384.3B23A2BE1A,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,4/27/2015,4/27/2015,4/28/2015,20
384.3B23A2BE1A,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,4/28/2015,4/27/2015,4/28/2015,20
384.3B23A2BE84,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,8/7/2015,8/7/2015,8/8/2015,51
384.3B23A2BE84,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,8/8/2015,8/7/2015,8/8/2015,51
384.3B23A2C139,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,5/3/2013,8/23/2015,8/23/2015,8/23/2015,17
384.3B23A2C2CD,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/5/2015,6/5/2015,6/5/2015,19
384.3B23A2C545,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,5/16/2015,5/16/2015,5/16/2015,15
384.3B23A2CFC6,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/14/2015,5/14/2015,5/14/2015,12
384.3B23A2D0D0,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/1/2015,5/1/2015,5/1/2015,14
384.3B23A2D25E,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/16/2015,5/16/2015,5/16/2015,12
384.3B23A2D26D,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/24/2015,6/24/2015,6/24/2015,8
384.3B23A2D2C2,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/14/2015,5/14/2015,5/14/2015,27
